地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,均值,最大值,最小值
北京市,2186,2184,2189,2189,2190,2192,2194,2195,2188,2171,2187.0615384615385,2195.0,2171.0
天津市,1364,1363,1373,1387,1385,1383,1410,1443,1439,1429,1398.430769230769,1443.0,1363.0
河北省,7393,7420,7448,7464,7447,7426,7409,7375,7345,7323,7403.2307692307695,7464.0,7323.0
山西省,3466,3481,3480,3490,3497,3502,3510,3514,3519,3528,3498.4384615384615,3528.0,3466.0
内蒙古自治区,2396,2401,2400,2403,2415,2422,2433,2436,2440,2449,2419.9615384615386,2449.0,2396.0
辽宁省,4182,4197,4229,4255,4277,4291,4312,4327,4338,4358,4275.584615384615,4358.0,4182.0
吉林省,2339,2348,2375,2399,2448,2484,2526,2567,2613,2642,2476.623076923077,2642.0,2339.0
黑龙江省,3062,3099,3125,3171,3255,3327,3399,3463,3529,3608,3308.6000000000004,3608.0,3062.0
上海市,2487,2475,2489,2488,2481,2475,2466,2467,2458,2467,2475.023076923077,2489.0,2458.0
江苏省,8526,8515,8505,8477,8469,8446,8423,8381,8315,8281,8429.138461538461,8526.0,8281.0
浙江省,6627,6577,6540,6468,6375,6273,6170,6072,5985,5890,6291.66923076923,6627.0,5890.0
安徽省,6121,6127,6113,6105,6092,6076,6057,6033,6011,5997,6071.4769230769225,6127.0,5997.0
福建省,4183,4188,4187,4161,4137,4104,4065,4016,3984,3945,4092.3076923076924,4188.0,3945.0
江西省,4515,4528,4517,4519,4516,4513,4511,4496,4485,4480,4507.384615384615,4528.0,4480.0
山东省,10123,10163,10170,10165,10106,10077,10033,9973,9866,9808,10039.261538461538,10170.0,9808.0
河南省,9815,9872,9883,9941,9901,9864,9829,9778,9701,9645,9818.3,9941.0,9645.0
湖北省,5838,5844,5830,5745,5927,5917,5904,5885,5850,5816,5852.584615384616,5927.0,5745.0
湖南省,6568,6604,6622,6645,6640,6635,6633,6625,6615,6611,6617.753846153846,6645.0,6568.0
广东省,12706,12657,12684,12624,12489,12348,12141,11908,11678,11489,12245.492307692308,12706.0,11489.0
广西壮族自治区,5027,5047,5037,5019,4982,4947,4907,4857,4811,4770,4935.492307692308,5047.0,4770.0
海南省,1043,1027,1020,1012,995,982,972,957,945,936,988.9923076923077,1043.0,936.0
重庆市,3191,3213,3212,3209,3188,3163,3144,3110,3070,3043,3150.2538461538466,3213.0,3043.0
四川省,8368,8374,8372,8371,8351,8321,8289,8251,8196,8139,8296.015384615384,8374.0,8139.0
贵州省,3865,3856,3852,3858,3848,3822,3803,3758,3708,3677,3799.5153846153844,3865.0,3677.0
云南省,4673,4693,4690,4722,4714,4703,4693,4677,4663,4653,4688.007692307692,4722.0,4653.0
西藏自治区,365,364,366,366,361,354,349,340,330,325,351.0,366.0,325.0
陕西省,3952,3956,3954,3955,3944,3931,3904,3874,3846,3827,3910.792307692308,3956.0,3827.0
甘肃省,2465,2492,2490,2501,2509,2515,2522,2520,2523,2531,2505.4461538461537,2531.0,2465.0
青海省,594,595,594,593,590,587,586,582,577,576,587.1076923076923,595.0,576.0
宁夏回族自治区,729,728,725,721,717,710,705,695,684,678,708.323076923077,729.0,678.0
新疆维吾尔自治区,2598,2587,2589,2590,2559,2520,2480,2428,2385,2325,2499.2384615384613,2598.0,2325.0
